"gid","발생수","재산피해합계","재산피해평균","인명피해합계","인명피해평균","화재진압시간합계","화재진압시간평균"
"라라35a90b",3,15608,5202.66666666667,0,0,2559,853
"라라35a91a",2,2026,1013,0,0,0,0
"라라35a92b",1,8543,8543,1,1,6113,6113
"라라35b89a",2,53,26.5,0,0,186,93
"라라35b90a",1,179,179,0,0,256,256
"라라36a89a",1,8871,8871,0,0,3141,3141
"라라36a90a",1,253,253,0,0,902,902
"라라36a91b",2,5178,2589,0,0,4035,2017.5
"라라36b87b",1,40,40,0,0,574,574
"라라36b88b",1,850,850,0,0,833,833
"라라36b90b",2,1788,894,0,0,9014,4507
"라라37a87b",2,14383,7191.5,0,0,8962,4481
"라라37a93b",1,1910,1910,0,0,0,0
"라라37b93b",1,3319,3319,0,0,130,130
"라라38a87a",1,1547,1547,0,0,1079,1079
"라라38a88b",1,2277,2277,0,0,154,154
"라라38a89b",1,589,589,0,0,0,0
"라라38a93b",1,3168,3168,0,0,4078,4078
"라라38b86b",1,128,128,0,0,292,292
"라라38b87b",1,0,0,0,0,1462,1462
"라라38b88a",1,764,764,0,0,1031,1031
"라라38b89b",1,806,806,0,0,626,626
"라라38b91b",1,4959,4959,0,0,3671,3671
"라라38b93b",1,37890,37890,0,0,1655,1655
"라라39a86a",2,926,463,0,0,2038,1019
"라라39a87a",2,4036,2018,0,0,1267,633.5
"라라39a89a",2,1502,751,0,0,2944,1472
"라라39a89b",1,3657,3657,0,0,4029,4029
"라라39a90b",1,982,982,0,0,6834,6834
"라라39a91a",1,10996,10996,0,0,2411,2411
"라라39a91b",1,492,492,0,0,929,929
"라라39a94a",1,13860,13860,0,0,463,463
"라라39b85a",1,924,924,0,0,5707,5707
"라라39b85b",2,7962,3981,0,0,2990,1495
"라라39b88a",2,5933,2966.5,0,0,1358,679
"라라39b89b",2,4104,2052,0,0,2447,1223.5
"라라39b93a",1,4125,4125,0,0,8095,8095
"라라39b94a",4,10932,2733,0,0,1899,474.75
"라라39b94b",1,9651,9651,0,0,5087,5087
