"gid","발생수","구조대상자수합계","구조대상자수평균","사망합계","사망평균","안전구조합계","안전구조평균","경상합계","경상평균","중상합계","중상평균","행방불명합계","행방불명평균"
"라라35a91a",5,0,0,0,0,0,0,0,0,0,0,0,0
"라라35b89a",1,0,0,0,0,0,0,0,0,0,0,0,0
"라라35b91a",4,0,0,0,0,0,0,0,0,0,0,0,0
"라라35b91b",11,1,0.0909090909090909,0,0,1,0.0909090909090909,0,0,0,0,0,0
"라라35b92a",4,1,0.25,0,0,0,0,1,0.25,0,0,0,0
"라라36a88b",1,0,0,0,0,0,0,0,0,0,0,0,0
"라라36a89a",17,2,0.117647058823529,0,0,2,0.117647058823529,0,0,0,0,0,0
"라라36a89b",3,1,0.333333333333333,0,0,0,0,1,0.333333333333333,0,0,0,0
"라라36a90a",2,0,0,0,0,0,0,0,0,0,0,0,0
"라라36a90b",14,1,0.0714285714285714,0,0,0,0,0,0,0,0,0,0
"라라36a91a",13,0,0,0,0,0,0,0,0,0,0,0,0
"라라36a91b",4,0,0,0,0,0,0,0,0,0,0,0,0
"라라36a92a",4,1,0.25,0,0,0,0,0,0,0,0,0,0
"라라36b88a",2,0,0,0,0,0,0,0,0,0,0,0,0
"라라36b88b",9,1,0.111111111111111,0,0,1,0.111111111111111,0,0,0,0,0,0
"라라36b89a",1,0,0,0,0,0,0,0,0,0,0,0,0
"라라36b90a",3,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0
"라라37a88a",6,3,0.5,0,0,2,0.333333333333333,1,0.166666666666667,0,0,0,0
"라라37a88b",1,0,0,0,0,0,0,0,0,0,0,0,0
"라라37a89b",1,1,1,0,0,0,0,0,0,0,0,0,0
"라라37a91a",6,0,0,0,0,0,0,0,0,0,0,0,0
"라라37a91b",1,0,0,0,0,0,0,0,0,0,0,0,0
"라라37b87a",1,0,0,0,0,0,0,0,0,0,0,0,0
"라라37b87b",1,0,0,0,0,0,0,0,0,0,0,0,0
"라라37b89b",2,0,0,0,0,0,0,0,0,0,0,0,0
"라라37b90a",5,0,0,0,0,0,0,0,0,0,0,0,0
"라라37b90b",1,0,0,0,0,0,0,0,0,0,0,0,0
"라라37b91a",2,0,0,0,0,0,0,0,0,0,0,0,0
"라라37b92a",4,1,0.25,0,0,1,0.25,0,0,0,0,0,0
"라라37b92b",3,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0
"라라37b93a",3,1,0.333333333333333,0,0,1,0.333333333333333,0,0,0,0,0,0
"라라37b93b",6,0,0,0,0,0,0,0,0,0,0,0,0
"라라37b94a",5,0,0,0,0,0,0,0,0,0,0,0,0
"라라37b94b",2,0,0,0,0,0,0,0,0,0,0,0,0
"라라38a87a",6,1,0.166666666666667,0,0,1,0.166666666666667,0,0,0,0,0,0
"라라38a87b",13,1,0.0769230769230769,0,0,0,0,1,0.0769230769230769,0,0,0,0
"라라38a88a",3,0,0,0,0,0,0,0,0,0,0,0,0
"라라38a89b",7,0,0,0,0,0,0,0,0,0,0,0,0
"라라38a91a",16,0,0,0,0,0,0,0,0,0,0,0,0
"라라38a91b",3,0,0,0,0,0,0,0,0,0,0,0,0
"라라38a92a",2,0,0,0,0,0,0,0,0,0,0,0,0
"라라38a93b",3,0,0,0,0,0,0,0,0,0,0,0,0
"라라38a94b",2,0,0,0,0,0,0,0,0,0,0,0,0
"라라38b87a",12,0,0,0,0,0,0,0,0,0,0,0,0
"라라38b88a",10,4,0.4,2,0.2,1,0.1,0,0,1,0.1,0,0
"라라38b88b",10,1,0.1,0,0,0,0,0,0,0,0,0,0
"라라38b89a",29,6,0.206896551724138,0,0,4,0.137931034482759,0,0,0,0,0,0
"라라38b89b",9,2,0.222222222222222,0,0,0,0,2,0.222222222222222,0,0,0,0
"라라38b90a",5,2,0.4,0,0,2,0.4,0,0,0,0,0,0
