"gid","lbl.x","val.x","lbl.y","val.y","건축면적","건축물높이","건축물수","건축물연면적","건폐율","고등학생인구수","고령인구수","공동건축물수","생산가능인구수","용적율","유소년인구수","유아인구수","중학생인구수","초등학생인구수","총인구수","연령20대수","연령30대수","연령40대수","연령50대수","연령60대수","연령70대수","연령80대수","연령90대수","연령100대이상수","공시지가","노후건물수20년","노후건물수30년","응급의료시설접근성","보건기관접근성","주차장접근성","토지이용복합도","토지이용압축도","화재발생수","화재재산피해합계","화재재산피해평균","화재인명피해합계","화재인명피해평균","화재진압시간합계","화재진압시간평균","구조발생수","구조대상자수합계","구조대상자수평균","구조사망합계","구조사망평균","구조안전구조합계","구조안전구조평균","구조경상합계","구조경상평균","구조중상합계","구조중상평균","구조행방불명합계구조","구조행방불명평균","구급발생수","전체발생수","화재발생정규화","구조발생정규화","구급발생정규화","전체발생정규화","소요시간","정규화시간","전체시간가중"
"라라52b91b","6.60",6.6,"6.60",6.6,58.07,6.6,2,99.81,32.36,0,0,0,0,70.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19549.02,2,1,5.708,4.898,4.296,2,0.08,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.822062194397093,0,0.00112044817927171,0,0.00112044817927171,11.9194323226007,1.23246416037211,1.23384507259662
"라라60a96a","5.77",5.77,"5.77",5.77,221.83,5.77,41,235.73,27.37,0,19,0,36,29.14,0,0,0,0,56,0,0,8,10,21,0,0,0,0,54117.02,28,14,13.287,1.028,2.286,8,5.26,0,0,0,0,0,0,0,28,7,0.25,0,0,2,0.071428571,5,0.178571429,0,0,0,0,1,-0.358002049095582,0,0.0156862745098039,0.00512820512820513,0.020814479638009,10.9392375910777,1.2127077693269,1.23794965049841
"라라48b91b","5.98",5.98,"5.98",5.98,82.62,5.98,17,82.67,32.53,0,12,0,19,34.58,6,0,0,0,37,0,0,0,0,12,0,0,0,0,4833.7,10,8,6.373,6.432,2.905,4,0.56,1,854,854,0,0,2059,2059,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.278391359787233,0.032258064516129,0.00336134453781513,0.00512820512820513,0.0407476141821493,10.9020122564744,1.21195747120393,1.26134184664572
"라라74b90a","4.45",4.45,"4.45",4.45,80.88,4.45,20,82.23,26.44,0,12,0,8,28.38,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5684.24,19,14,21.267,2.256,4.696,5,0.66,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.601697674036645,0,0.00392156862745098,0.0102564102564103,0.0141779788838612,11.9518661305671,1.23311788250779,1.2506010018073
"라라42b85b","3.55",3.55,"3.55",3.55,128.42,3.55,2,128.42,10.93,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2179.43,2,0,16.958,6.286,8.484,2,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.83712082780651,0,0.000560224089635854,0,0.000560224089635854,11.2240343071324,1.21844801165817,1.21913061558627
"라라51b93b","4.60",4.6,"4.60",4.6,75.85,4.6,2,75.85,43.24,0,0,0,0,43.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789.2,2,1,8.325,4.054,6.912,1,0.06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.83712082780651,0,0.000560224089635854,0,0.000560224089635854,13.1322858709562,1.25690992427114,1.25761407548922
"라라54a86b","20.76",20.76,"20.76",20.76,516.3,20.76,102,2234.97,42.24,31,312,19,1237,117.29,181,84,36,87,1730,275,251,188,314,241,132,84,7,0,1168927.21,62,30,0.122,3.132,0.834,10,88.09,11,44430,4039.090909,0,0,7988,726.1818182,295,61,0.206779661,2,0.006779661,39,0.13220339,9,0.030508475,7,0.023728814,0,0,51,11.8093437715234,0.354838709677419,0.165266106442577,0.261538461538462,0.781643277658458,3.31675839303133,1,1.78164327765846
"라라55b98b","6.90",6.9,"6.90",6.9,69.42,6.9,8,80.15,23.82,0,6,0,0,42.28,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3478.17,8,6,14.818,3.143,10.16,2,0.26,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.719409250921577,0,0.00224089635854342,0.00512820512820513,0.00736910148674855,19.0919221356749,1.37702983590346,1.38717730851451
"라라60b98b","4.05",4.05,"4.05",4.05,75.61,4.05,15,76.33,16.57,0,9,0,0,17.34,0,0,0,0,13,0,0,0,0,0,0,0,0,0,24874.55,11,11,15.701,2.667,4.502,1,0.49,0,0,0,0,0,0,0,13,1,0.076923077,0,0,0,0,1,0.076923077,0,0,0,0,4,-0.366274520266781,0,0.00728291316526611,0.0205128205128205,0.0277957336780866,16.9998713443476,1.33486334368442,1.37196684968212
"라라38a87a","4.36",4.36,"4.36",4.36,90.87,4.36,10,93.45,21.3,0,0,0,7,21.96,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7690.41,6,3,25.124,2.351,2.623,2,0.37,1,1547,1547,0,0,1079,1079,6,1,0.166666667,0,0,1,0.166666667,0,0,0,0,0,0,1,-0.278391359787233,0.032258064516129,0.00336134453781513,0.00512820512820513,0.0407476141821493,5.05698999715771,1.09414767105983,1.13873157821847
"라라76a85b","4.44",4.44,"4.44",4.44,69.58,4.44,36,69.6,21.98,0,29,0,16,21.9,0,0,0,0,45,0,0,0,0,12,0,10,6,0,7055.95,27,23,24.77,1.388,3.818,3,1,1,25,25,0,0,1717,1717,2,0,0,0,0,0,0,0,0,0,0,0,0,4,-0.12101886345485,0.032258064516129,0.00112044817927171,0.0205128205128205,0.0538913332082213,10.4980408775809,1.20381519469925,1.2686904004779
"라라42b86b","5.00",5,"5.00",5,82.3,5,2,82.3,16.03,0,0,0,6,16.03,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1953.38,0,0,16.057,6.09,8.289,2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.852179461215926,0,0,0,0,8.73379546102603,1.16825580917284,1.16825580917284
"라라54b88a","7.00",7,"7.00",7,244.68,7,4,511.27,0.39,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22953.98,0,0,2.671,4.21,1.53,3,0.82,0,0,0,0,0,0,0,14,4,0.285714286,1,0.071428571,2,0.142857143,0,0,1,0.071428571,0,0,1,-0.568822916827413,0,0.00784313725490196,0.00512820512820513,0.0129713423831071,9.08665895670759,1.17536797676777,1.19061407722057
"라라56b81b","4.25",4.25,"4.25",4.25,78,4.25,1,78,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17688.6,0,0,23.879,11.162,23.686,1,0.03,0,0,0,0,0,0,0,7,7,1,0,0,6,0.857142857,0,0,1,0.142857143,0,0,0,-0.746769027350011,0,0.00392156862745098,0,0.00392156862745098,12.9888339553078,1.25401856804305,1.25893628791773
"라라60a85a","10.85",10.85,"10.85",10.85,709.34,10.85,15,1484.75,14.92,0,0,0,0,29.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122962.57,4,1,4.671,1.434,2.187,5,8.83,2,0,0,0,0,355,177.5,101,7,0.069306931,1,0.00990099,2,0.01980198,3,0.02970297,1,0.00990099,0,0,10,2.21590052833299,0.0645161290322581,0.0565826330532213,0.0512820512820513,0.172380813367531,2.33881945307303,1,1.17238081336753
