"gid","건축면적","건축물높이","건축물수","건축물연면적","건폐율","고등학생인구수","고령인구수","공동건축물수","생산가능인구수","용적율","유소년인구수","유아인구수","중학생인구수","초등학생인구수","총인구수","연령20대수","연령30대수","연령40대수","연령50대수","연령60대수","연령70대수","연령80대수","연령90대수","연령100대이상수","공시지가","노후건물수20년","노후건물수30년","응급의료시설접근성","보건기관접근성","주차장접근성","토지이용복합도","토지이용압축도","화재발생수","화재재산피해합계","화재재산피해평균","화재인명피해합계","화재인명피해평균","화재진압시간합계","화재진압시간평균","구조발생수","구조대상자수합계","구조대상자수평균","구조사망합계","구조사망평균","구조안전구조합계","구조안전구조평균","구조경상합계","구조경상평균","구조중상합계","구조중상평균","구조행방불명합계구조","구조행방불명평균"
"라라48b91b",82.62,5.98,17,82.67,32.53,0,12,0,19,34.58,6,0,0,0,37,0,0,0,0,12,0,0,0,0,4833.7,10,8,6.373,6.432,2.905,4,0.56,1,854,854,0,0,2059,2059,6,0,0,0,0,0,0,0,0,0,0,0,0
"라라54a86b",516.3,20.76,102,2234.97,42.24,31,312,19,1237,117.29,181,84,36,87,1730,275,251,188,314,241,132,84,7,0,1168927.21,62,30,0.122,3.132,0.834,10,88.09,11,44430,4039.09090909091,0,0,7988,726.181818181818,295,61,0.206779661016949,2,0.00677966101694915,39,0.132203389830508,9,0.0305084745762712,7,0.023728813559322,0,0
"라라38a87a",90.87,4.36,10,93.45,21.3,0,0,0,7,21.96,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7690.41,6,3,25.124,2.351,2.623,2,0.37,1,1547,1547,0,0,1079,1079,6,1,0.166666666666667,0,0,1,0.166666666666667,0,0,0,0,0,0
"라라76a85b",69.58,4.44,36,69.6,21.98,0,29,0,16,21.9,0,0,0,0,45,0,0,0,0,12,0,10,6,0,7055.95,27,23,24.77,1.388,3.818,3,1,1,25,25,0,0,1717,1717,2,0,0,0,0,0,0,0,0,0,0,0,0
"라라60a85a",709.34,10.85,15,1484.75,14.92,0,0,0,0,29.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122962.57,4,1,4.671,1.434,2.187,5,8.83,2,0,0,0,0,355,177.5,101,7,0.0693069306930693,1,0.0099009900990099,2,0.0198019801980198,3,0.0297029702970297,1,0.0099009900990099,0,0
"라라54a87a",215.32,11.92,322,804.84,63.61,11,319,4,1019,168.75,51,24,9,25,1389,383,200,112,183,215,133,82,12,0,1299313.87,240,129,0.695,2.901,0.602,11,103.31,20,32231,1611.55,1,0.05,15824,791.2,414,114,0.27536231884058,3,0.0072463768115942,89,0.214975845410628,14,0.0338164251207729,4,0.00966183574879227,0,0
"라라55b85a",426.7,20.94,57,3105.63,47.27,104,849,22,2728,161.01,268,100,103,137,3845,522,502,514,647,658,359,175,24,0,854230.15,26,0,2.114,5.531,0.459,9,70.81,16,22550,1409.375,1,0.0625,4882,305.125,358,120,0.335195530726257,9,0.0251396648044693,94,0.262569832402235,14,0.0391061452513966,0,0,1,0.00279329608938547
"라라53a94a",91.81,4.47,20,95.31,29.85,0,17,0,22,29.56,0,0,0,0,39,0,0,0,7,0,6,6,0,0,58428.23,15,10,10.163,4.401,4.323,5,0.76,1,1204,1204,0,0,517,517,9,1,0.111111111111111,0,0,0,0,0,0,0,0,0,0
"라라71b86a",203.9,8.92,42,414.42,32.73,13,57,7,150,56.7,22,10,8,10,229,24,14,28,42,45,19,14,0,0,58769.7,30,21,18.981,1.171,3.936,7,6.96,6,38817,6469.5,0,0,3994,665.666666666667,63,7,0.111111111111111,0,0,7,0.111111111111111,0,0,0,0,0,0
"라라64a75a",93.17,4.5,8,93.17,30.51,0,0,0,7,30.51,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4546.5,7,3,17.796,2.093,2.13,2,0.3,2,22238,11119,0,0,17524,8762,1,0,0,0,0,0,0,0,0,0,0,0,0
