gid,건축면적,건축물높이,건축물수,건축물연면적,건폐율,고등학생인구수,고령인구수,공동건축물수,생산가능인구수,용적율,유소년인구수,유아인구수,중학생인구수,초등학생인구수,총인구수,연령20대수,연령30대수,연령40대수,연령50대수,연령60대수,연령70대수,연령80대수,연령90대수,연령100대이상수,공시지가,노후건물수20년,노후건물수30년,응급의료시설접근성,보건기관접근성,주차장접근성,토지이용복합도,토지이용압축도,화재발생수,화재재산피해합계,화재재산피해평균,화재인명피해합계,화재인명피해평균,화재진압시간합계,화재진압시간평균,구조발생수,구조대상자수합계,구조대상자수평균,구조사망합계,구조사망평균,구조안전구조합계,구조안전구조평균,구조경상합계,구조경상평균,구조중상합계,구조중상평균,구조행방불명합계구조,구조행방불명평균,구급발생수
라라52b91b,58.07,6.6,2,99.81,32.36,0,0,0,0,70.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19549.02,2,1,5.708,4.898,4.296,2,0.08,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라60a96a,221.83,5.77,41,235.73,27.37,0,19,0,36,29.14,0,0,0,0,56,0,0,8,10,21,0,0,0,0,54117.02,28,14,13.287,1.028,2.286,8,5.26,0,0,0,0,0,0,0,28,7,0.25,0,0,2,0.071428571,5,0.178571429,0,0,0,0,1
라라48b91b,82.62,5.98,17,82.67,32.53,0,12,0,19,34.58,6,0,0,0,37,0,0,0,0,12,0,0,0,0,4833.7,10,8,6.373,6.432,2.905,4,0.56,1,854,854,0,0,2059,2059,6,0,0,0,0,0,0,0,0,0,0,0,0,1
라라74b90a,80.88,4.45,20,82.23,26.44,0,12,0,8,28.38,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5684.24,19,14,21.267,2.256,4.696,5,0.66,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2
라라42b85b,128.42,3.55,2,128.42,10.93,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2179.43,2,0,16.958,6.286,8.484,2,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라51b93b,75.85,4.6,2,75.85,43.24,0,0,0,0,43.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789.2,2,1,8.325,4.054,6.912,1,0.06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라54a86b,516.3,20.76,102,2234.97,42.24,31,312,19,1237,117.29,181,84,36,87,1730,275,251,188,314,241,132,84,7,0,1168927.21,62,30,0.122,3.132,0.834,10,88.09,11,44430,4039.090909,0,0,7988,726.1818182,295,61,0.206779661,2,0.006779661,39,0.13220339,9,0.030508475,7,0.023728814,0,0,51
라라55b98b,69.42,6.9,8,80.15,23.82,0,6,0,0,42.28,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3478.17,8,6,14.818,3.143,10.16,2,0.26,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
라라60b98b,75.61,4.05,15,76.33,16.57,0,9,0,0,17.34,0,0,0,0,13,0,0,0,0,0,0,0,0,0,24874.55,11,11,15.701,2.667,4.502,1,0.49,0,0,0,0,0,0,0,13,1,0.076923077,0,0,0,0,1,0.076923077,0,0,0,0,4
라라38a87a,90.87,4.36,10,93.45,21.3,0,0,0,7,21.96,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7690.41,6,3,25.124,2.351,2.623,2,0.37,1,1547,1547,0,0,1079,1079,6,1,0.166666667,0,0,1,0.166666667,0,0,0,0,0,0,1
